"Country Name","Country Code","Indicator Name","Indicator Code","Unit Name","Unit Code",Attribute,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,
"Iceland","176","Private capital stock","KPRIV","Percent of GDP","_RPPP_GDP","Value","269.113924339901","282.851635781874","266.710447269537","248.680624232323","237.403789288853","234.612399671057","226.279896733271","242.673139975924","273.366563831315","279.720176989422","265.074783912542","239.169104540153","236.383389279277","231.008706857047","232.021002022459","245.348199364027","242.696602079735","231.676192347478","228.619372467601","225.856623973744","220.192682804055","219.365574842661","221.833965686065","233.184454658982","226.917031532964","223.953165084307","214.246382514585","199.983059860583","205.506502393536","208.907061567184","208.195057420142","210.63794589213","219.865325525053","216.349006246695","205.470744516015","202.055617700545","190.035915435129","182.319251101968","173.685491014011","173.862625579456","171.424944192489","170.954312679223","174.69186093057","171.590639915478","161.996625279666","157.761211690924","164.95994546689","174.134555755824","183.266104728257","199.963280867979","198.804958907821","184.325676660206","175.252716841527","164.741326830497",
"India","534","General government investment","IGOV","PPP, Constant 2005 Dollars","_RPPP","Value","16317160000","16969840000","17648640000","18354580000","19088760000","19852310000","20646400000","21472260000","22331150000","20957090000","20858610000","24538180000","29188470000","25594140000","22613640000","26763750000","39262610000","42897620000","42765620000","45244190000","51978440000","57263630000","65708960000","71173160000","76065520000","81668830000","95679420000","83367510000","88349720000","85913220000","83573260000","93351940000","87883190000","87493640000","103230500000","108434700000","92027660000","88399030000","96799590000","104216600000","105695200000","110684500000","116090400000","125718800000","134962200000","156852400000","189519000000","210386300000","246114500000","257287100000","269654200000","257895700000","288000200000","282639100000",
"Sweden","144","Public-private partnership capital stock","KPPP","PPP, Constant 2005 Dollars","_RPPP","Value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","482000","932400","1537500","2429200","3692300","5686900","10447100","16858000","30190300","45559400","63025700","82631900","104763800","125217500","147326700","172675300","200673800","230621400","262075100","293838300","322940300","353052100","382690400",
"Sweden","144","General government investment","IGOV","Percent of GDP","_RPPP_GDP","Value","2.91256420738556","2.80551238752734","2.96574495403929","3.58946032829901","3.72598976322176","3.75194765101484","3.86708753538533","4.19146392330429","4.51803777475731","4.50981024072118","4.52927411068074","4.1030619651054","4.06118395458804","3.56857649353652","3.29912782365734","3.23541549696427","3.07462178186598","3.36692058762777","3.43050680426526","3.30959781850797","3.30567351346817","3.17031172623666","2.97516806429111","2.88429268994542","2.69787931371037","2.4898459433653","2.36721333214772","2.31184472663146","2.39303209013051","2.57549395277477","2.5046765426496","2.74506839323096","2.79502348008044","3.04863257327075","3.44013916944498","3.30593765283388","2.99134706426208","2.58572500537994","2.62350037325615","2.63908818740062","2.32042726072074","2.37338191181436","2.53374269095844","2.40314305176381","2.36303411828495","2.35288916690224","2.38686035269395","2.39605282146381","2.51816151185092","2.68735121856583","2.66470047003714","2.56920840489235","2.63845475691829","2.51451445131274",
"Sweden","144","General government capital stock","KGOV","Percent of GDP","_RPPP_GDP","Value","48.5366598280442","47.5007782883049","47.0648409726767","46.3208875351489","45.5580354938424","46.274449949109","47.753076046059","48.6522937336055","49.6619691359343","50.2409470720627","50.0550836579962","52.6205912354349","53.9385338644545","54.2418301557783","54.4433947148527","54.6996266496694","55.6738201971748","57.9556462465808","58.4861817005188","57.845533729182","58.3143726910831","59.4639338577673","59.9441713849139","59.8061653012958","58.2345372915739","57.7238656091141","56.7235639430023","55.2862489693167","54.2861354614902","53.3507258370792","53.6168076114893","54.8148910479374","56.2072868619509","58.1245529283804","56.7916792631962","55.7579654753926","56.0059706147728","55.221568932244","53.4492402833835","51.6790866418745","49.9507206064031","49.5557217235721","48.6831450332228","48.0086317712831","46.6549217489977","45.5986008443319","43.9918498453868","42.9909089307804","43.8289660567209","46.7178946706097","44.5025018901388","43.8194117437508","43.8144275035743","43.7020441475348",
"Sweden","144","Private investment","IPRIV","Percent of GDP","_RPPP_GDP","Value","13.7816365124339","14.2758822461379","14.4370038903392","13.9852672080774","13.9634790681138","13.965554962716","14.2830182606088","14.2675220826303","13.3447193697829","13.2297027749687","12.6626078211864","12.8694170594598","13.2428961628869","13.5786971068998","12.8249691517809","12.9846489398917","13.3035156639775","12.7535756536326","11.2927058227188","11.5246333127767","11.7987737037154","11.4014401638479","11.5326638633997","11.848421355539","12.613909778085","13.7263896740304","13.6386518383205","14.1342459376905","14.5461567779721","15.8147268498312","15.7908537608779","14.0781592209214","12.3895846038615","9.74851792695952","9.78102554694092","10.6105521038999","11.3046327960523","11.3542717125343","11.9377712345317","12.5176182008802","12.9717111907638","12.7822647732526","12.0736609220293","12.0781829656606","12.3900172106361","13.105886999601","13.7607881678932","14.6057039591376","14.8502974992129","12.7427234736467","12.8932074638592","13.7859315554068","14.0474544742858","13.7246692862869",
"Sweden","144","Private capital stock","KPRIV","Percent of GDP","_RPPP_GDP","Value","167.09964091389","164.16038173409","164.044368836841","162.305170766888","157.947957806733","158.35965800554","161.305348076444","162.206435614761","162.461265731905","159.583931641179","154.58154736353","157.656874393996","158.499126060918","156.91950742791","156.814918983927","156.846042474047","159.200423274166","165.915085659203","166.000081200887","161.212699620087","160.229018928022","161.392347810355","160.659668808253","158.911854896001","153.916000806689","153.006893938074","152.266784816451","150.36900699323","150.100812024125","149.929097913844","153.631294345111","159.85424999834","163.851807992584","167.282735441388","158.111213874686","149.384362490264","145.73584485313","141.117043594152","135.24598515709","130.043593395983","125.589105826546","125.760703784562","124.20695204448","122.00404413145","118.40142042037","115.989510342297","112.819266326278","111.679639855341","115.979664114093","125.25630387592","117.790769955611","114.938767836867","115.015414707061","114.724321587717",
"Sweden","144","Public-private partnership investment","IPPP","Percent of GDP","_RPPP_GDP","Value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0.000230006197884093","0.000225795834277904","0.00031207610741675","0.000473038519200807","0.000650004504094481","0.000984023765102252","0.00225934300959086","0.00300613940550949","0.00593026036435622","0.00672355636708953","0.00748578361852418","0.00847987687375616","0.00952723811115093","0.00903164327256409","0.00960669232808236","0.0107570450655637","0.0115307109012313","0.0121723109745791","0.0131933824291892","0.0144922620545733","0.0132859801649508","0.0136572166360374","0.0138118022139942","0.0135850050263538",
"Sweden","144","Public-private partnership capital stock","KPPP","Percent of GDP","_RPPP_GDP","Value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0.000228593976311593","0.000447385858787481","0.000753285057764103","0.00114569071350045","0.00167202528664843","0.00253390217548706","0.00452351952169879","0.0070109772656856","0.0120257465528395","0.0173503833434126","0.0236704420023338","0.0302774779290579","0.037460528597659","0.0431618830428184","0.0492293149042558","0.0551894271719763","0.0620122847943763","0.0718162819745092","0.0858852626418339","0.0906028032023207","0.096674732366547","0.104376576504131","0.111348037539807",
"Switzerland","146","General government investment","IGOV","PPP, Constant 2005 Dollars","_RPPP","Value","1488531000","1548072000","1981555000","2168571000","2759632000","2878537000","2976085000","3284314000","3497881000","3690091000","4267299000","4656337000","4865287000","4679426000","4541473000","4477980000","4780437000","4296737000","4026604000","3959647000","3955527000","4099739000","4256312000","4384042000","4412885000","4322237000","4526194000","4688948000","4989732000","5348202000","5620145000","6070652000","6353364000","6339182000","6510486000","6381276000","6304847000","6389424000","6880760000","6737628000","6251945000","6316949000","6558762000","6705765000","6372207000","6157575000","5984232000","5882762000","6268143000","6612226000","7096426000","7126770000","7582421000","7636046000",
